latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
33.79336,-89.06104,303.56,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,293.33,0.44,N
34.51383,-95.32811,346.5,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,294.77,9.08,N
34.51335,-95.32272,350.08,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,296.43,6.02,N
34.80971,-99.47053,312.02,0.44,0.62,2026-08-30,0744,N20,nominal,2.0NRT,293.36,1.02,N
34.51286,-95.31715,307.37,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,292.9,6.02,N
34.5093,-95.32857,339.49,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,292.56,7.31,N
34.50882,-95.32328,339.66,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,294.95,3.27,N
34.50834,-95.3178,312.12,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,293.07,3.27,N
34.50431,-95.32396,318.11,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,292.88,3.27,N
34.50383,-95.31859,307.37,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,292.04,3.27,N
34.50333,-95.31293,312.03,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,292.26,2.56,N
34.49785,-95.30276,306.9,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,291.31,2.42,N
34.49381,-95.30882,340.03,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,292.54,4.76,N
34.49333,-95.3034,323.77,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,291.84,2.42,N
34.4943,-95.31437,306.75,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,291.32,4.76,N
34.49238,-95.2927,310.65,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,290.13,1.45,N
45.27809,-66.01524,296.75,0.57,0.69,2026-08-30,0739,N20,nominal,2.0NRT,284.66,1.14,N
